date,transformer,a2c,ppo,td3,sac,ddpg
2024-01-02,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-01-03,999956.0022569428,999825.9939809265,999816.1077574844,999725.4738544463,999775.5881505583,999676.658279419
2024-01-04,1000004.3898799611,999751.9395600738,999583.7989708061,999671.7281370162,999952.6216816939,999720.018647194
2024-01-05,1000004.4304173148,1000197.5820543214,998062.9612354087,1000958.2009002685,1000660.3002564353,998967.0813195496
2024-01-08,999188.1147635272,995395.9740880434,1005566.7194922522,1004416.9909724025,1005103.9582881164,998840.4605852871
2024-01-09,998743.3016207812,990465.8332119143,1006455.1581926765,1001857.0534724025,1002557.6511378823,993025.6493150119
2024-01-10,1000130.9152510149,992802.3436103594,1014504.5035230368,1006186.5534724025,1011380.9324418526,994851.9843952312
2024-01-11,999169.7828253213,992061.9061103594,1019164.2745399512,1005581.5534724025,1012722.7035229608,992513.4342793103
2024-01-12,998240.1069939729,992909.8436103594,1012755.9620399512,1007214.3034724025,1010940.7344140664,987744.4342793103
2024-01-16,993763.882480217,978604.4061103594,1010904.1202836799,996478.1784724025,1002742.2679427415,979149.5592793103
2024-01-17,994577.4777662011,976673.0936103594,1013472.5976783218,992984.0534724025,997041.4912324486,979629.0122905102
2024-01-18,998954.7648460218,986048.9686103594,1018477.7288829344,1003625.7409724025,1010153.5293959465,982903.5231646576
2024-01-19,1003126.4437702543,1001449.2811103594,1022779.6046361083,1016534.3034724025,1026870.920666237,991924.0213735123
2024-01-22,1004992.8095101644,1005787.2811103594,1026000.4922012633,1019986.2409724025,1027408.4907131119,997962.2606648636
2024-01-23,1004799.8466550333,997379.4061103594,1025593.7385960082,1017685.2409724025,1019154.7781418458,998009.6893021641
2024-01-24,1004394.5439435389,995432.8436103594,1025060.4885960082,1017195.4284724025,1016464.2302501947,994550.449888279
2024-01-25,1009469.6611165584,1007061.9061103594,1019085.1712234572,1030118.4284724025,1018213.9292814599,995005.199888279
2024-01-26,1007797.5513861887,1006728.4061103594,1020926.8536992645,1026606.7409724025,1021760.7218582879,996632.574888279
2024-01-29,1014707.5157065776,1011022.9686103594,1030637.6569418105,1036919.0534724025,1024243.4557298776,1000922.762388279
2024-01-30,1016449.8138324568,1012861.0311103594,1028721.6005356063,1038595.5534724025,1022751.3396256181,1002723.012388279
2024-01-31,1011555.4419683364,1005989.9061103594,1017986.3364711532,1029388.4284724025,1023057.8976028672,1002720.387388279
2024-02-01,1021598.6555619643,1012830.5936103594,1026173.7151381759,1043796.0534724025,1032848.9515661774,1012412.699888279
2024-02-02,1018649.7824016173,1010231.6561103594,1030364.4996858749,1045176.5534724025,1030936.5018173981,1012851.9220097237
2024-02-05,1008558.3072531188,1001095.9061103594,1024221.3680041122,1041878.8034724025,1026011.075116726,1002800.7243610192
2024-02-06,1013050.3951716559,1008998.3436103594,1030387.7982536239,1043043.8034724025,1032542.262616726,1001410.299876381
2024-02-07,1020248.173813166,1013471.4686103594,1043631.3366579207,1041649.9284724025,1040785.137616726,984783.5051043625
2024-02-08,1018356.1538092444,1016805.3436103594,1041519.5530217628,1042949.6784724025,1041149.200116726,981447.0723055801
2024-02-09,1020101.9690765021,1015119.5936103594,1045053.1629382514,1041080.7409724025,1038772.825116726,976889.8223055801
2024-02-12,1021953.9478769877,1021688.4686103594,1039660.0531028556,1043816.8659724025,1043270.6413141747,983442.1348055801
2024-02-13,1009182.952832371,1012071.1561103594,1028990.7231997031,1028242.6784724025,1026988.4327847558,971793.1973055801
2024-02-14,1011329.2040764926,1014602.7811103594,1030826.1906329078,1035353.6159724025,1029204.6827847558,971366.5785392381
2024-02-15,1020963.0506459658,1026224.2811103594,1033932.7531329078,1044870.3034724025,1038202.3077847558,977199.4351484033
2024-02-16,1017018.8411956638,1021291.2186103594,1029566.711037136,1038248.8034724025,1034358.5048720055,968876.2476484033
2024-02-20,1011678.6452648528,1018205.0311103594,1026290.836037136,1031620.5534724025,1031709.8227030755,969347.4351484033
