date,transformer,a2c,ppo,td3,sac,ddpg
2023-08-28,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2023-08-29,999959.1949447709,999833.9718125307,999831.9224178086,999748.3574878693,999792.6297200698,999706.7481994628
2023-08-30,999998.2802075292,999706.3546816254,1000386.4848028948,1000007.206396675,999604.1771426507,998911.1500149763
2023-08-31,999510.5297480413,998140.7504073791,998094.7315351297,997875.9931671143,997934.541893967,993877.3827828635
2023-09-01,999977.4885307372,999843.8411237334,999824.4932017557,999732.0194608078,999700.2881510586,994952.2181686057
2023-09-05,999149.121446238,995225.6474536286,1000249.2751399042,993198.2069608078,992676.0502684216,992922.2492336577
2023-09-06,997877.6503632911,990672.9016474457,993951.4252920954,987803.8944608078,989272.6360828214,985125.5585245207
2023-09-07,998015.7071442702,988907.5730943909,997366.4866826899,989798.3319608078,989064.077983151,989063.8218440322
2023-09-08,997515.5201761803,987579.3855943909,999248.2957224238,994179.6444608078,990721.3601589894,991228.5375908564
2023-09-11,998181.0533892349,989419.4480943909,1001997.137138447,999086.4569608078,993929.6044187704,994502.2250908564
2023-09-12,997821.2623068452,993112.5730943909,994432.8180940287,996469.1444608078,991162.7151412435,994356.0485621394
2023-09-13,997547.2191442874,989032.0105943909,991692.2875761683,991767.8319608078,985223.9679236684,992713.5975353755
2023-09-14,998196.3567057499,994100.3855943909,996803.3848493311,999974.2694608078,997455.7894657102,1005897.5475192126
2023-09-15,995224.1277548755,988501.8855943909,987726.4782035754,990145.8944608078,985451.1384084593,999309.4199949702
2023-09-18,995609.8909436266,989551.2605943909,989808.149443516,991721.1444608078,983917.179374169,999726.8372587832
2023-09-19,994637.9265673297,986717.5730943909,985751.1333538287,990409.6444608078,981414.1399938627,998825.4458058528
2023-09-20,993799.2336987536,986391.3230943909,981873.9257069094,987746.8319608078,973820.7820280615,1007553.8208058528
2023-09-21,985065.7568890764,973503.3230943909,979074.515895035,975276.6444608078,961984.1463311506,1002264.6333058528
2023-09-22,981044.6825802004,968947.1980943909,979297.9171484835,968815.2069608078,957538.5126751295,998393.9458058528
2023-09-25,981870.8496282579,968981.9480943909,982120.1046484835,969293.8319608078,960451.7335072065,1000738.3833058528
2023-09-26,967669.3415530818,958666.7605943909,967769.2921484835,957419.0819608078,946504.9052788053,994338.4458058528
2023-09-27,966318.1539934312,957478.6980943909,964994.1671484835,957353.0194608078,945338.1777447286,994610.0708058528
2023-09-28,962567.4675024989,953891.4480943909,971455.6046484835,958890.7069608078,944344.9702295309,993877.3833058528
2023-09-29,956858.1203814356,951376.2605943909,966624.1046484835,953993.3319608078,940903.1482397276,987704.2583058528
2023-10-02,952598.9710319254,944284.3230943909,979840.0688280737,953587.3319608078,937004.0518124205,984829.1333058528
2023-10-03,945860.3079811861,939830.1980943909,965265.1938280737,942587.5194608078,928685.1865434919,974741.5083058528
2023-10-04,948181.6898608782,939337.6980943909,972535.4438280737,947156.7694608078,928429.9697134481,980143.5083058528
2023-10-05,947763.4839898455,940766.4480943909,977303.1313280737,945071.2069608078,927277.4054383398,980803.8833058528
2023-10-06,958964.522179312,947489.8855943909,993710.8188280737,959714.5194608078,937004.927396382,989936.3208058528
2023-10-09,964198.334679312,954814.3855943909,998210.8123864043,966608.6444608078,944681.0034904791,999224.4458058528
2023-10-10,970199.209679312,958705.6355943909,997936.5623864043,969952.4569608078,950574.0659904791,1002146.1958058528
2023-10-11,974159.0102049201,956720.2605943909,1000161.2263698485,977212.7694608078,954953.7725883528,1019444.9458058528
2023-10-12,963696.3758650725,949303.5730943909,999570.6638698485,971740.3944608078,947056.5607821317,1014807.9969176272
2023-10-13,955096.9101464141,948007.4480943909,1004071.7263698485,966053.2069608078,938887.5099514585,1011389.9771686648
2023-10-16,962818.1436705954,957368.6355943909,1010656.9138698485,975242.6444608078,943239.9267852904,1018247.4419687747
2023-10-17,966003.1436705954,961690.7605943909,1008455.2431565134,976050.0194608078,942685.628388867,1016409.5669687747
2023-10-18,956813.7061705954,953353.6355943909,999624.1806565134,960771.8319608078,933935.3426902662,1013027.3169687747
2023-10-19,945134.8311705954,942431.8230943909,995004.6181565134,953559.5819608078,926825.7176902662,1002283.6919687747
2023-10-20,939770.5086837714,937228.0730943909,985586.6806565134,945560.9569608078,915981.0926902662,993328.1919687747
2023-10-23,937692.3022244589,929627.0730943909,981697.4931565134,940561.0194608078,913965.3426902662,981203.6919687747
2023-10-24,944743.8022244589,933836.8855943909,986365.8056565134,946209.3319608078,919434.5879965865,988545.4419687747
2023-10-25,939638.2719947607,929456.0105943909,992532.3681565134,941066.2069608078,907863.8863052488,979478.2544687747
2023-10-26,939460.3969947607,926767.8855943909,975185.7431565134,933259.4569608078,898824.4488052488,978125.8169687747
2023-10-27,934823.0455268958,912292.6980943909,973039.4306565134,924874.8944608078,896103.0738052488,962423.1294687747
2023-10-30,946818.1414179995,925705.9480943909,987608.1181565134,936847.0819608078,908357.9488052488,972460.1919687747
2023-10-31,960555.7003379232,936237.3855943909,994838.8681565134,935114.4569608078,912943.8863052488,970639.8794687747
2023-11-01,969034.7628379232,938419.1355943909,1003685.2431565134,946933.2069608078,923695.8238052488,980295.8169687747
2023-11-02,981193.5932251113,953059.0730943909,1017844.4415806468,962351.1444608078,940312.3238052488,995843.7544687747
2023-11-03,990859.4682251113,960674.4480943909,1017166.9415806468,970793.1444608078,945378.1988052488,1002997.3169687747
2023-11-06,988953.5677758734,959463.3230943909,1022865.1293413889,971868.0194608078,947690.9488052488,1005853.8169687747
2023-11-07,987026.774012541,957187.0730943909,1032097.2311596873,972777.9569608078,949913.3238052488,1002750.8169687747
2023-11-08,984426.621362425,952693.1355943909,1033753.9928931467,972899.4569608078,951694.9488052488,1003072.6919687747
2023-11-09,981895.8441335585,949426.8230943909,1028289.5056627543,965923.8944608078,952348.9488052488,990505.0669687747
2023-11-10,994222.7191335585,956347.3855943909,1043037.2683245661,979443.4569608078,967325.8863052488,1002547.0669687747
